,Poste,Nationalité,Date de naissance,Âge,Taille,Poids,Club actuel,Dernière saison,Poste simplifié,IMC,Poste prédit
Kamil Syprzak,Pivot,Pologne,27/07/1991,33.0,207.0,117.0,Paris,,Pivot,27.30518798571729,Pivot
Tom Pelayo,Arrière Droit,France,23/02/1997,27.0,189.0,95.0,Dunkerque,,Arrière,26.595000139973685,Arrière
Gabriel Loesch,Ailier Droit,France,12/07/1995,29.0,182.0,73.0,Aix,,Ailier,22.03840115928028,Ailier
Chema Marquez,Demi Centre,Espagne,20/12/1996,28.0,187.0,94.0,Saint-Raphaël,,Demi Centre,26.88095170007721,Arrière
Nemanja Ilic,Ailier Gauche,Serbie,11/05/1990,34.0,177.0,76.0,Toulouse,,Ailier,24.25867407194612,Ailier
Benjamin Richert,Ailier Droit,France,18/04/1998,26.0,187.0,76.0,Chambéry,,Ailier,21.7335354170837,Ailier
Valero Rivera,Ailier Gauche,Espagne,22/02/1985,39.0,186.0,83.0,Nantes,,Ailier,23.991212856977683,Ailier
Ian Tarrafeta,Demi Centre,Espagne,04/01/1999,25.0,188.0,88.0,Aix,,Demi Centre,24.898143956541425,Demi Centre
Elohim Prandi,Arrière Gauche,France,24/08/1998,26.0,193.0,101.0,Paris,,Arrière,27.114821874412737,Pivot
Mario Lopez Alvarez,Ailier Droit,Espagne,19/09/1994,30.0,178.0,81.0,Créteil,,Ailier,25.5649539199596,Ailier
Ayyoub Abdi,Arrière Droit,Algérie,16/02/1997,27.0,197.0,98.0,Nantes,,Arrière,25.25187456517818,Arrière
Aymeric Minne,Demi Centre,France,20/04/1997,27.0,187.0,85.0,Nantes,,Demi Centre,24.307243558580453,Ailier
Robin Molinie,Arrière Gauche,France,15/09/1990,34.0,190.0,85.0,Cesson-Rennes,,Arrière,23.545706371191137,Arrière
Cornelius Kragh,Arrière Gauche,Danemark,05/05/1995,29.0,194.0,98.0,Dunkerque,,Arrière,26.03889892655968,Arrière
Pierrick Naudin,Arrière Gauche,France,20/12/1989,35.0,191.0,84.0,Dijon,,Arrière,23.025684602944,Arrière
Dragan Gajic,Ailier Droit,Slovénie,21/07/1984,40.0,188.0,85.0,Limoges,2023 / 2024,Ailier,24.049343594386603,Demi Centre
Ihor Turchenko,Arrière Gauche,Ukraine,04/12/2000,24.0,193.0,90.0,Limoges,,Arrière,24.161722462347985,Arrière
