,totalbuts,%total,totalbuts / mj,butstirs,%tirs,tirsbuts / mj,butspenalty,%penalty,penaltybuts / mj,mj,Score LNH *,Temps jeu
SYPRZAK Kamil,220 / 267,"82,40 %","7,59",131 / 161,"81,37 %","4,52",89 / 106,"83,96 %","3,07",29,413.9,08:01:40
PELAYO Tom,216 / 294,"73,47 %","7,20",134 / 190,"70,53 %","4,47",82 / 104,"78,85 %","2,73",30,470.3,21:16:38
LOESCH Gabriel,191 / 248,"77,02 %","6,37",107 / 148,"72,30 %","3,57",84 / 100,"84,00 %","2,80",30,364.5,27:10:37
MARQUEZ Chema,189 / 312,"60,58 %","6,30",178 / 293,"60,75 %","5,93",11 / 19,"57,89 %","0,37",30,424.5,17:04:57
ILIC Nemanja,183 / 238,"76,89 %","6,54",116 / 152,"76,32 %","4,14",67 / 86,"77,91 %","2,39",28,366.8,21:19:16
RICHERT Benjamin,170 / 257,"66,15 %","6,07",84 / 142,"59,15 %","3,00",86 / 115,"74,78 %","3,07",28,312.6,15:54:21
RIVERA Valero,169 / 220,"76,82 %","5,63",89 / 123,"72,36 %","2,97",80 / 97,"82,47 %","2,67",30,329.1,18:08:32
TARRAFETA Ian,165 / 246,"67,07 %","6,88",165 / 246,"67,07 %","6,88",0 / 0,"0,00 %","0,00",24,443.9,18:39:14
PRANDI Elohim,160 / 248,"64,52 %","5,71",160 / 248,"64,52 %","5,71",0 / 0,"0,00 %","0,00",28,373.1,16:34:51
LOPEZ ALVAREZ Mario,159 / 229,"69,43 %","5,30",95 / 144,"65,97 %","3,17",64 / 85,"75,29 %","2,13",30,334.0,21:46:21
ABDI Ayyoub,153 / 233,"65,67 %","5,10",153 / 233,"65,67 %","5,10",0 / 0,"0,00 %","0,00",30,354.1,18:42:11
MINNE Aymeric,150 / 216,"69,44 %","5,00",150 / 216,"69,44 %","5,00",0 / 0,"0,00 %","0,00",30,396.4,16:44:39
MOLINIE Robin,150 / 218,"68,81 %","5,00",129 / 192,"67,19 %","4,30",21 / 26,"80,77 %","0,70",30,312.1,13:33:28
KRAGH Cornelius,146 / 263,"55,51 %","4,87",146 / 263,"55,51 %","4,87",0 / 0,"0,00 %","0,00",30,335.3,20:37:23
NAUDIN Pierrick,145 / 245,"59,18 %","4,83",108 / 193,"55,96 %","3,60",37 / 52,"71,15 %","1,23",30,291.3,16:04:18
GAJIC Dragan,136 / 170,"80,00 %","4,53",52 / 68,"76,47 %","1,73",84 / 102,"82,35 %","2,80",30,273.8,17:50:05
TURCHENKO Ihor,135 / 219,"61,64 %","4,50",133 / 216,"61,57 %","4,43",2 / 3,"66,67 %","0,07",30,274.2,13:14:39
MOHAMED Antonin,132 / 188,"70,21 %","4,55",59 / 96,"61,46 %","2,03",73 / 92,"79,35 %","2,52",29,289.1,17:02:55
FEUCHTMANN Erwin,131 / 191,"68,59 %","4,52",95 / 142,"66,90 %","3,28",36 / 49,"73,47 %","1,24",29,305.9,13:19:55
PELLAS Lucas,130 / 159,"81,76 %","4,64",76 / 99,"76,77 %","2,71",54 / 60,"90,00 %","1,93",28,258.1,15:27:23
BARBEITO Alejandro,128 / 190,"67,37 %","4,27",128 / 190,"67,37 %","4,27",0 / 0,"0,00 %","0,00",30,318.4,17:55:53
VIEIRA Gonçalo,128 / 205,"62,44 %","4,27",128 / 205,"62,44 %","4,27",0 / 0,"0,00 %","0,00",30,312.3,16:38:47
CAUCHETEUX Raphaël,126 / 175,"72,00 %","4,20",64 / 92,"69,57 %","2,13",62 / 83,"74,70 %","2,07",30,229.6,15:09:14
BRASSELEUR Micke,126 / 215,"58,60 %","4,20",126 / 215,"58,60 %","4,20",0 / 0,"0,00 %","0,00",30,259.4,13:03:18
VINCENT Gueric,123 / 162,"75,93 %","4,24",63 / 91,"69,23 %","2,17",59 / 72,"81,94 %","2,03",29,230.7,12:15:49
COSTOYA Alejandro,122 / 185,"65,95 %","4,52",122 / 185,"65,95 %","4,52",0 / 0,"0,00 %","0,00",27,266.4,15:10:29
SANAD Mohammad,122 / 199,"61,31 %","4,07",90 / 144,"62,50 %","3,00",32 / 55,"58,18 %","1,07",30,220.3,20:05:35
PASCHAL Drevy,120 / 178,"67,42 %","5,45",78 / 118,"66,10 %","3,55",42 / 60,"70,00 %","1,91",22,206.8,02:13:59
ACCAMBRAY William,120 / 184,"65,22 %","4,00",84 / 139,"60,43 %","2,80",36 / 45,"80,00 %","1,20",30,230.1,13:41:29
KARLSSON Sebastian,119 / 161,"73,91 %","3,97",108 / 143,"75,52 %","3,60",11 / 18,"61,11 %","0,37",30,233.6,16:30:48
RADOVIC Luka,115 / 164,"70,12 %","4,11",66 / 97,"68,04 %","2,36",49 / 67,"73,13 %","1,75",28,214.8,18:21:05
DEUMAL Jordi,114 / 153,"74,51 %","3,80",114 / 149,"76,51 %","3,80",0 / 4,"0,00 %","0,00",30,221.5,27:04:26
FAUSTIN Jean-loup,114 / 178,"64,04 %","3,93",106 / 168,"63,10 %","3,66",8 / 10,"80,00 %","0,28",29,323.7,19:56:52
VERIN Yvan,111 / 192,"57,81 %","3,70",111 / 191,"58,12 %","3,70",0 / 1,"0,00 %","0,00",30,258.4,18:15:50
STEINS Luc,108 / 142,"76,06 %","3,60",108 / 142,"76,06 %","3,60",0 / 0,"0,00 %","0,00",30,430.3,24:24:09
ILIC Vanja,108 / 155,"69,68 %","3,60",79 / 111,"71,17 %","2,63",29 / 44,"65,91 %","0,97",30,229.4,18:08:42
MONTE Hugo,108 / 198,"54,55 %","3,60",108 / 198,"54,55 %","3,60",0 / 0,"0,00 %","0,00",30,251.8,16:05:05
MARESCOT Johannes,106 / 140,"75,71 %","3,93",104 / 137,"75,91 %","3,85",2 / 3,"66,67 %","0,07",27,208.3,15:14:16
BOS Julien,104 / 157,"66,24 %","3,47",84 / 132,"63,64 %","2,80",20 / 25,"80,00 %","0,67",30,248.9,15:01:02
ZAEPFEL Aymeric,104 / 163,"63,80 %","4,16",104 / 163,"63,80 %","4,16",0 / 0,"0,00 %","0,00",25,242.9,13:32:40
MONAR Théo,102 / 131,"77,86 %","3,52",102 / 131,"77,86 %","3,52",0 / 0,"0,00 %","0,00",29,193.7,13:08:09
OLIVERAS Pau,99 / 171,"57,89 %","3,41",98 / 168,"58,33 %","3,38",1 / 3,"33,33 %","0,03",29,203.3,15:03:32
ELDERAA Seif,98 / 142,"69,01 %","3,27",85 / 127,"66,93 %","2,83",13 / 15,"86,67 %","0,43",30,275.8,16:42:36
TRIBILLON Gaël,97 / 130,"74,62 %","3,46",56 / 82,"68,29 %","2,00",41 / 48,"85,42 %","1,46",28,192.5,10:39:56
DE ALMEIDA TAVARES Francisco,97 / 140,"69,29 %","3,23",76 / 109,"69,72 %","2,53",21 / 31,"67,74 %","0,70",30,213.4,17:05:21
IGLESIAS David,97 / 140,"69,29 %","3,23",97 / 140,"69,29 %","3,23",0 / 0,"0,00 %","0,00",30,223.8,10:47:45
