,poste,Nationalité :,Né le :,Age :,Taille :,Poids :,Club actuel :,Dernière saison
Kamil Syprzak,Pivot,Pologne,27/07/1991,33 ans,207 cm,117 kgs,Paris,
Tom Pelayo,Arrière Droit,France,23/02/1997,27 ans,189 cm,95 kgs,Dunkerque,
Gabriel Loesch,Ailier Droit,France,12/07/1995,29 ans,182 cm,73 kgs,Aix,
Chema Marquez,Demi Centre,Espagne,20/12/1996,27 ans,187 cm,94 kgs,Saint-Raphaël,
Nemanja Ilic,Ailier Gauche,Serbie,11/05/1990,34 ans,177 cm,76 kgs,Toulouse,
Benjamin Richert,Ailier Droit,France,18/04/1998,26 ans,187 cm,76 kgs,Chambéry,
Valero Rivera,Ailier Gauche,Espagne,22/02/1985,39 ans,186 cm,83 kgs,Nantes,
Ian Tarrafeta,Demi Centre,Espagne,04/01/1999,25 ans,188 cm,88 kgs,Aix,
Elohim Prandi,Arrière Gauche,France,24/08/1998,26 ans,193 cm,101 kgs,Paris,
Mario Lopez Alvarez,Ailier Droit,Espagne,19/09/1994,30 ans,178 cm,81 kgs,Créteil,
Ayyoub Abdi,Arrière Droit,Algérie,16/02/1997,27 ans,197 cm,98 kgs,Nantes,
Aymeric Minne,Demi Centre,France,20/04/1997,27 ans,187 cm,85 kgs,Nantes,
Robin Molinie,Arrière Gauche,France,15/09/1990,34 ans,190 cm,85 kgs,Cesson-Rennes,
Cornelius Kragh,Arrière Gauche,Danemark,05/05/1995,29 ans,194 cm,98 kgs,Dunkerque,
Pierrick Naudin,Arrière Gauche,France,20/12/1989,34 ans,191 cm,84 kgs,Dijon,
Dragan Gajic,Ailier Droit,Slovénie,21/07/1984,40 ans,188 cm,85 kgs,Limoges,2023 / 2024
Ihor Turchenko,Arrière Gauche,Ukraine,04/12/2000,24 ans,193 cm,90 kgs,Limoges,
Antonin Mohamed,Ailier Gauche,France,16/02/1999,25 ans,182 cm,74 kgs,Saran,
Erwin Feuchtmann,Arrière Gauche,Chili,02/05/1990,34 ans,195 cm,102 kgs,Toulouse,
Lucas Pellas,Ailier Gauche,Suède,28/08/1995,29 ans,184 cm,79 kgs,Montpellier,
Alejandro Barbeito,Demi Centre,Espagne,08/08/2001,23 ans,182 cm,85 kgs,Créteil,
Gonçalo Vieira,Arrière Gauche,Portugal,27/04/1999,25 ans,194 cm,95 kgs,Toulouse,
Raphaël Caucheteux,Ailier Gauche,France,09/05/1985,39 ans,198 cm,94 kgs,Saint-Raphaël,
Micke Brasseleur,Arrière Droit,France,16/04/1993,31 ans,197 cm,97 kgs,Saint-Raphaël,
Gueric Vincent,Ailier Gauche,France,18/08/2002,22 ans,180 cm,85 kgs,Nîmes,
Alejandro Costoya,Arrière Gauche,Espagne,06/05/1993,31 ans,193 cm,99 kgs,Chambéry,
Mohammad Sanad,Ailier Droit,Égypte,16/01/1991,33 ans,185 cm,88 kgs,Nîmes,
Drevy Paschal,Ailier Gauche,France,16/07/2001,23 ans,194 cm,82 kgs,Saint-Raphaël,
William Accambray,Arrière Gauche,France,08/04/1988,36 ans,194 cm,108 kgs,Saran,
Sebastian Karlsson,Ailier Droit,France,21/01/1995,29 ans,178 cm,80 kgs,Montpellier,
Luka Radovic,Ailier Droit,Monténégro,29/12/1997,26 ans,180 cm,80 kgs,Saran,
Jordi Deumal,Ailier Gauche,Espagne,14/01/1994,30 ans,194 cm,83 kgs,Granollers,
Jean-loup Faustin,Demi Centre,France,23/03/1995,29 ans,185 cm,88 kgs,Dunkerque,
Yvan Verin,Arrière Gauche,France,09/09/2000,24 ans,188 cm,94 kgs,Chartres,
Luc Steins,Demi Centre,Pays-Bas,22/03/1995,29 ans,173 cm,73 kgs,Paris,
Vanja Ilic,Ailier Gauche,Serbie,25/02/1993,31 ans,186 cm,81 kgs,Chartres,
Hugo Monte,Arrière Gauche,Brésil,06/04/2003,21 ans,193 cm,92 kgs,Montpellier,
